DATE,YEAR,MO,DY,T2M_MAX
20/1/1981,1981,1,20,24.8
21/1/1981,1981,1,21,24.92
22/1/1981,1981,1,22,25.91
23/1/1981,1981,1,23,25.94
24/1/1981,1981,1,24,25.93
25/1/1981,1981,1,25,25.94
26/1/1981,1981,1,26,25.71
27/1/1981,1981,1,27,25.64
28/1/1981,1981,1,28,25.42
29/1/1981,1981,1,29,26.81
30/1/1981,1981,1,30,27.3
31/1/1981,1981,1,31,27.51
1/2/1981,1981,2,1,27.23
2/2/1981,1981,2,2,25.18
3/2/1981,1981,2,3,25.3
4/2/1981,1981,2,4,25.37
5/2/1981,1981,2,5,25.97
6/2/1981,1981,2,6,28.18
7/2/1981,1981,2,7,28.91
8/2/1981,1981,2,8,30.3
9/2/1981,1981,2,9,27.35
10/2/1981,1981,2,10,26.53
11/2/1981,1981,2,11,25.97
12/2/1981,1981,2,12,26.56
13/2/1981,1981,2,13,27.92
14/2/1981,1981,2,14,28.94
15/2/1981,1981,2,15,30.39
16/2/1981,1981,2,16,30.41
17/2/1981,1981,2,17,29.89
18/2/1981,1981,2,18,28.66
19/2/1981,1981,2,19,28.48
20/2/1981,1981,2,20,29.44
21/2/1981,1981,2,21,28.4
22/2/1981,1981,2,22,29.16
23/2/1981,1981,2,23,29.63
24/2/1981,1981,2,24,30.59
25/2/1981,1981,2,25,32.35
26/2/1981,1981,2,26,33.67
27/2/1981,1981,2,27,32.38
28/2/1981,1981,2,28,31.67
1/3/1981,1981,3,1,31.15
2/3/1981,1981,3,2,31.41
3/3/1981,1981,3,3,29.46
4/3/1981,1981,3,4,28.58
5/3/1981,1981,3,5,29.99
6/3/1981,1981,3,6,30.54
7/3/1981,1981,3,7,31.69
8/3/1981,1981,3,8,32.37
9/3/1981,1981,3,9,31.73
10/3/1981,1981,3,10,28.9
11/3/1981,1981,3,11,30.99
12/3/1981,1981,3,12,29.44
13/3/1981,1981,3,13,29.23
14/3/1981,1981,3,14,29.38
15/3/1981,1981,3,15,29.9
16/3/1981,1981,3,16,30.73
17/3/1981,1981,3,17,31.01
18/3/1981,1981,3,18,31.14
19/3/1981,1981,3,19,32.11
20/3/1981,1981,3,20,30.23
21/3/1981,1981,3,21,29.44
22/3/1981,1981,3,22,29.3
23/3/1981,1981,3,23,31.54
24/3/1981,1981,3,24,30.38
25/3/1981,1981,3,25,29.45
26/3/1981,1981,3,26,28.65
27/3/1981,1981,3,27,28.94
28/3/1981,1981,3,28,28.94
29/3/1981,1981,3,29,29.1
30/3/1981,1981,3,30,29.28
31/3/1981,1981,3,31,28.92
1/4/1981,1981,4,1,29.67
2/4/1981,1981,4,2,29.71
3/4/1981,1981,4,3,29.79
4/4/1981,1981,4,4,30.94
5/4/1981,1981,4,5,31.9
6/4/1981,1981,4,6,31.95
7/4/1981,1981,4,7,31.96
8/4/1981,1981,4,8,33.03
9/4/1981,1981,4,9,32.44
10/4/1981,1981,4,10,32.01
11/4/1981,1981,4,11,30.62
12/4/1981,1981,4,12,30.88
13/4/1981,1981,4,13,31.77
14/4/1981,1981,4,14,30.33
15/4/1981,1981,4,15,30.19
16/4/1981,1981,4,16,30.88
17/4/1981,1981,4,17,30.49
18/4/1981,1981,4,18,30.61
19/4/1981,1981,4,19,31.08
20/4/1981,1981,4,20,31.13
21/4/1981,1981,4,21,30.81
22/4/1981,1981,4,22,29.83
23/4/1981,1981,4,23,29.15
24/4/1981,1981,4,24,30.05
25/4/1981,1981,4,25,31.69
26/4/1981,1981,4,26,31.03
27/4/1981,1981,4,27,30.86
28/4/1981,1981,4,28,31.37
29/4/1981,1981,4,29,32.05
30/4/1981,1981,4,30,32.37
1/5/1981,1981,5,1,33.51
2/5/1981,1981,5,2,32.04
3/5/1981,1981,5,3,31.33
4/5/1981,1981,5,4,28.73
5/5/1981,1981,5,5,27.4
6/5/1981,1981,5,6,29.36
7/5/1981,1981,5,7,29.66
8/5/1981,1981,5,8,28.78
9/5/1981,1981,5,9,29.94
10/5/1981,1981,5,10,30.51
11/5/1981,1981,5,11,31.19
12/5/1981,1981,5,12,31.59
13/5/1981,1981,5,13,32.44
14/5/1981,1981,5,14,31.97
15/5/1981,1981,5,15,32.31
16/5/1981,1981,5,16,31.7
17/5/1981,1981,5,17,31.63
18/5/1981,1981,5,18,31.65
19/5/1981,1981,5,19,31.55
20/5/1981,1981,5,20,31.21
21/5/1981,1981,5,21,31.62
22/5/1981,1981,5,22,31.62
23/5/1981,1981,5,23,31.39
24/5/1981,1981,5,24,30.67
25/5/1981,1981,5,25,31.41
26/5/1981,1981,5,26,31.13
27/5/1981,1981,5,27,31.08
28/5/1981,1981,5,28,31.23
29/5/1981,1981,5,29,30.86
30/5/1981,1981,5,30,31.02
31/5/1981,1981,5,31,30.33
1/6/1981,1981,6,1,31.15
2/6/1981,1981,6,2,32.05
3/6/1981,1981,6,3,32.74
4/6/1981,1981,6,4,31.69
5/6/1981,1981,6,5,32.09
6/6/1981,1981,6,6,32.35
7/6/1981,1981,6,7,32.99
8/6/1981,1981,6,8,31.93
9/6/1981,1981,6,9,33.32
10/6/1981,1981,6,10,32.74
11/6/1981,1981,6,11,33.28
12/6/1981,1981,6,12,32.71
13/6/1981,1981,6,13,33.76
14/6/1981,1981,6,14,32.32
15/6/1981,1981,6,15,32.15
16/6/1981,1981,6,16,30.66
17/6/1981,1981,6,17,29.54
18/6/1981,1981,6,18,28.87
19/6/1981,1981,6,19,29.94
20/6/1981,1981,6,20,29.06
21/6/1981,1981,6,21,29.36
22/6/1981,1981,6,22,30.38
23/6/1981,1981,6,23,30.76
24/6/1981,1981,6,24,30.14
25/6/1981,1981,6,25,28.89
26/6/1981,1981,6,26,30.3
27/6/1981,1981,6,27,30.19
28/6/1981,1981,6,28,30.43
29/6/1981,1981,6,29,30.07
30/6/1981,1981,6,30,29.77
1/7/1981,1981,7,1,29.04
2/7/1981,1981,7,2,30.05
3/7/1981,1981,7,3,29.98
4/7/1981,1981,7,4,29.14
5/7/1981,1981,7,5,30.3
6/7/1981,1981,7,6,29.12
7/7/1981,1981,7,7,30
8/7/1981,1981,7,8,29.83
9/7/1981,1981,7,9,29.26
10/7/1981,1981,7,10,30.54
11/7/1981,1981,7,11,30.56
12/7/1981,1981,7,12,30.01
13/7/1981,1981,7,13,30.37
14/7/1981,1981,7,14,30.63
15/7/1981,1981,7,15,30.66
16/7/1981,1981,7,16,29.36
17/7/1981,1981,7,17,28.44
18/7/1981,1981,7,18,29.26
19/7/1981,1981,7,19,29.45
20/7/1981,1981,7,20,29.98
21/7/1981,1981,7,21,30.08
22/7/1981,1981,7,22,28.96
23/7/1981,1981,7,23,29.39
24/7/1981,1981,7,24,30.01
25/7/1981,1981,7,25,30.01
26/7/1981,1981,7,26,29.65
27/7/1981,1981,7,27,29.46
28/7/1981,1981,7,28,29.33
29/7/1981,1981,7,29,30.37
30/7/1981,1981,7,30,30.51
31/7/1981,1981,7,31,29.82
1/8/1981,1981,8,1,29.74
2/8/1981,1981,8,2,29.72
3/8/1981,1981,8,3,29.42
4/8/1981,1981,8,4,29.65
5/8/1981,1981,8,5,29.52
6/8/1981,1981,8,6,30.09
7/8/1981,1981,8,7,29.56
8/8/1981,1981,8,8,29.47
9/8/1981,1981,8,9,29.83
10/8/1981,1981,8,10,30.39
11/8/1981,1981,8,11,30.73
12/8/1981,1981,8,12,29.23
13/8/1981,1981,8,13,28.43
14/8/1981,1981,8,14,30.3
15/8/1981,1981,8,15,29.11
16/8/1981,1981,8,16,29.62
17/8/1981,1981,8,17,30.06
18/8/1981,1981,8,18,29.76
19/8/1981,1981,8,19,30.15
20/8/1981,1981,8,20,29.8
21/8/1981,1981,8,21,29.43
22/8/1981,1981,8,22,28.8
23/8/1981,1981,8,23,30.21
24/8/1981,1981,8,24,28.97
25/8/1981,1981,8,25,29.19
26/8/1981,1981,8,26,30.65
27/8/1981,1981,8,27,30.19
28/8/1981,1981,8,28,29.76
29/8/1981,1981,8,29,29.8
30/8/1981,1981,8,30,30
31/8/1981,1981,8,31,31.1
1/9/1981,1981,9,1,30.17
2/9/1981,1981,9,2,30.12
3/9/1981,1981,9,3,30.01
4/9/1981,1981,9,4,29.99
5/9/1981,1981,9,5,28.8
6/9/1981,1981,9,6,28.94
7/9/1981,1981,9,7,29.09
8/9/1981,1981,9,8,29.55
9/9/1981,1981,9,9,29.76
10/9/1981,1981,9,10,29.17
11/9/1981,1981,9,11,29.89
12/9/1981,1981,9,12,28.99
13/9/1981,1981,9,13,29.26
14/9/1981,1981,9,14,29.98
15/9/1981,1981,9,15,29.53
16/9/1981,1981,9,16,29.9
17/9/1981,1981,9,17,29.75
18/9/1981,1981,9,18,29.42
19/9/1981,1981,9,19,28.47
20/9/1981,1981,9,20,28.9
21/9/1981,1981,9,21,29.57
22/9/1981,1981,9,22,29.82
23/9/1981,1981,9,23,29.91
24/9/1981,1981,9,24,30.3
25/9/1981,1981,9,25,29.05
26/9/1981,1981,9,26,29.4
27/9/1981,1981,9,27,29.29
28/9/1981,1981,9,28,30.06
29/9/1981,1981,9,29,30.62
30/9/1981,1981,9,30,29.5
1/10/1981,1981,10,1,29.18
2/10/1981,1981,10,2,30.07
3/10/1981,1981,10,3,29.99
4/10/1981,1981,10,4,30.46
5/10/1981,1981,10,5,30.82
6/10/1981,1981,10,6,30.68
7/10/1981,1981,10,7,30.39
8/10/1981,1981,10,8,30.8
9/10/1981,1981,10,9,30.6
10/10/1981,1981,10,10,30.26
11/10/1981,1981,10,11,30.58
12/10/1981,1981,10,12,30.33
13/10/1981,1981,10,13,29.48
14/10/1981,1981,10,14,29.39
15/10/1981,1981,10,15,29.17
16/10/1981,1981,10,16,29.14
17/10/1981,1981,10,17,29.22
18/10/1981,1981,10,18,30.22
19/10/1981,1981,10,19,29.5
20/10/1981,1981,10,20,29.48
21/10/1981,1981,10,21,28.6
22/10/1981,1981,10,22,28.9
23/10/1981,1981,10,23,29.4
24/10/1981,1981,10,24,29.68
25/10/1981,1981,10,25,29.91
26/10/1981,1981,10,26,30.03
27/10/1981,1981,10,27,29.04
28/10/1981,1981,10,28,29.17
29/10/1981,1981,10,29,29.12
30/10/1981,1981,10,30,29.01
