DATE,YEAR,MO,DY,T2M_MAX
20/1/1981,1981,1,20,23.48
21/1/1981,1981,1,21,23.65
22/1/1981,1981,1,22,24.28
23/1/1981,1981,1,23,25.28
24/1/1981,1981,1,24,25.86
25/1/1981,1981,1,25,25.33
26/1/1981,1981,1,26,24.68
27/1/1981,1981,1,27,25.55
28/1/1981,1981,1,28,25.55
29/1/1981,1981,1,29,26.08
30/1/1981,1981,1,30,27.85
31/1/1981,1981,1,31,27.73
1/2/1981,1981,2,1,27.66
2/2/1981,1981,2,2,25.83
3/2/1981,1981,2,3,25.13
4/2/1981,1981,2,4,26.73
5/2/1981,1981,2,5,28.3
6/2/1981,1981,2,6,30.11
7/2/1981,1981,2,7,29.33
8/2/1981,1981,2,8,29.31
9/2/1981,1981,2,9,27.73
10/2/1981,1981,2,10,24.87
11/2/1981,1981,2,11,24.81
12/2/1981,1981,2,12,27.37
13/2/1981,1981,2,13,29.33
14/2/1981,1981,2,14,29.16
15/2/1981,1981,2,15,31.3
16/2/1981,1981,2,16,32.12
17/2/1981,1981,2,17,31.73
18/2/1981,1981,2,18,31.08
19/2/1981,1981,2,19,31.6
20/2/1981,1981,2,20,31.58
21/2/1981,1981,2,21,31.91
22/2/1981,1981,2,22,31.4
23/2/1981,1981,2,23,32
24/2/1981,1981,2,24,33.36
25/2/1981,1981,2,25,34.05
26/2/1981,1981,2,26,35.13
27/2/1981,1981,2,27,34.37
28/2/1981,1981,2,28,34.91
1/3/1981,1981,3,1,35.26
2/3/1981,1981,3,2,33.49
3/3/1981,1981,3,3,32.19
4/3/1981,1981,3,4,32.05
5/3/1981,1981,3,5,33.76
6/3/1981,1981,3,6,35.1
7/3/1981,1981,3,7,34.94
8/3/1981,1981,3,8,35.38
9/3/1981,1981,3,9,35.79
10/3/1981,1981,3,10,34.55
11/3/1981,1981,3,11,34.87
12/3/1981,1981,3,12,29.16
13/3/1981,1981,3,13,29.32
14/3/1981,1981,3,14,31.82
15/3/1981,1981,3,15,32.84
16/3/1981,1981,3,16,27.07
17/3/1981,1981,3,17,31.73
18/3/1981,1981,3,18,34.98
19/3/1981,1981,3,19,36.02
20/3/1981,1981,3,20,34.8
21/3/1981,1981,3,21,29.88
22/3/1981,1981,3,22,33.62
23/3/1981,1981,3,23,33.88
24/3/1981,1981,3,24,35.05
25/3/1981,1981,3,25,34.78
26/3/1981,1981,3,26,33.9
27/3/1981,1981,3,27,36.15
28/3/1981,1981,3,28,36.8
29/3/1981,1981,3,29,37.37
30/3/1981,1981,3,30,37.19
31/3/1981,1981,3,31,38.44
1/4/1981,1981,4,1,37.69
2/4/1981,1981,4,2,38.23
3/4/1981,1981,4,3,38.68
4/4/1981,1981,4,4,40.29
5/4/1981,1981,4,5,39.85
6/4/1981,1981,4,6,38.37
7/4/1981,1981,4,7,38.42
8/4/1981,1981,4,8,39.23
9/4/1981,1981,4,9,40.31
10/4/1981,1981,4,10,41.48
11/4/1981,1981,4,11,41.7
12/4/1981,1981,4,12,43.01
13/4/1981,1981,4,13,40.38
14/4/1981,1981,4,14,41.07
15/4/1981,1981,4,15,41.43
16/4/1981,1981,4,16,41.18
17/4/1981,1981,4,17,42.23
18/4/1981,1981,4,18,42.83
19/4/1981,1981,4,19,42.4
20/4/1981,1981,4,20,40.18
21/4/1981,1981,4,21,41.6
22/4/1981,1981,4,22,39.9
23/4/1981,1981,4,23,41.6
24/4/1981,1981,4,24,40.31
25/4/1981,1981,4,25,37.87
26/4/1981,1981,4,26,36.68
27/4/1981,1981,4,27,39.84
28/4/1981,1981,4,28,39.48
29/4/1981,1981,4,29,40.36
30/4/1981,1981,4,30,36.78
1/5/1981,1981,5,1,39.4
2/5/1981,1981,5,2,41.84
