DATE,YEAR,MO,DY,T2M_MAX
20/1/1981,1981,1,20,26.16
21/1/1981,1981,1,21,26.26
22/1/1981,1981,1,22,27.18
23/1/1981,1981,1,23,27.33
24/1/1981,1981,1,24,27.48
25/1/1981,1981,1,25,27.79
26/1/1981,1981,1,26,26.28
27/1/1981,1981,1,27,26.51
28/1/1981,1981,1,28,27.58
29/1/1981,1981,1,29,28.3
30/1/1981,1981,1,30,29.62
31/1/1981,1981,1,31,29.97
1/2/1981,1981,2,1,29.87
2/2/1981,1981,2,2,28.69
3/2/1981,1981,2,3,27.68
4/2/1981,1981,2,4,27.55
5/2/1981,1981,2,5,28.12
6/2/1981,1981,2,6,29.95
7/2/1981,1981,2,7,30.47
8/2/1981,1981,2,8,31.63
9/2/1981,1981,2,9,30.32
10/2/1981,1981,2,10,29.78
11/2/1981,1981,2,11,28.4
12/2/1981,1981,2,12,29.41
13/2/1981,1981,2,13,30.58
14/2/1981,1981,2,14,31.83
15/2/1981,1981,2,15,32.28
16/2/1981,1981,2,16,32.57
17/2/1981,1981,2,17,32.88
18/2/1981,1981,2,18,32.43
19/2/1981,1981,2,19,31.52
20/2/1981,1981,2,20,31.55
21/2/1981,1981,2,21,31.26
22/2/1981,1981,2,22,30.55
23/2/1981,1981,2,23,31.08
24/2/1981,1981,2,24,32.73
25/2/1981,1981,2,25,33.9
26/2/1981,1981,2,26,35.19
27/2/1981,1981,2,27,34.81
28/2/1981,1981,2,28,34.58
1/3/1981,1981,3,1,34.6
2/3/1981,1981,3,2,35.1
3/3/1981,1981,3,3,32.97
4/3/1981,1981,3,4,32.16
5/3/1981,1981,3,5,32.55
6/3/1981,1981,3,6,33.12
7/3/1981,1981,3,7,33.9
8/3/1981,1981,3,8,34.01
9/3/1981,1981,3,9,34.33
10/3/1981,1981,3,10,31.26
11/3/1981,1981,3,11,32.99
12/3/1981,1981,3,12,31.19
13/3/1981,1981,3,13,30.86
14/3/1981,1981,3,14,31.77
15/3/1981,1981,3,15,31.55
16/3/1981,1981,3,16,32.04
17/3/1981,1981,3,17,32.9
18/3/1981,1981,3,18,33.37
19/3/1981,1981,3,19,33.98
20/3/1981,1981,3,20,33.63
21/3/1981,1981,3,21,26.93
22/3/1981,1981,3,22,29.63
23/3/1981,1981,3,23,32.9
24/3/1981,1981,3,24,32.26
25/3/1981,1981,3,25,32.09
26/3/1981,1981,3,26,32.47
27/3/1981,1981,3,27,32.12
28/3/1981,1981,3,28,32.24
29/3/1981,1981,3,29,31.58
30/3/1981,1981,3,30,31.84
31/3/1981,1981,3,31,31.79
