DATE,YEAR,MO,DY,T2M_MAX
20/1/1981,1981,1,20,26.65
21/1/1981,1981,1,21,26.76
22/1/1981,1981,1,22,27.65
23/1/1981,1981,1,23,28.01
24/1/1981,1981,1,24,28.87
25/1/1981,1981,1,25,28.78
26/1/1981,1981,1,26,26.76
27/1/1981,1981,1,27,28.1
28/1/1981,1981,1,28,28.75
29/1/1981,1981,1,29,28.94
30/1/1981,1981,1,30,30.79
31/1/1981,1981,1,31,31.2
1/2/1981,1981,2,1,30.72
2/2/1981,1981,2,2,28.77
3/2/1981,1981,2,3,28.8
4/2/1981,1981,2,4,28.94
5/2/1981,1981,2,5,30.55
6/2/1981,1981,2,6,32.4
7/2/1981,1981,2,7,32.58
8/2/1981,1981,2,8,33.76
9/2/1981,1981,2,9,32.4
10/2/1981,1981,2,10,27.94
11/2/1981,1981,2,11,28.09
12/2/1981,1981,2,12,29.38
13/2/1981,1981,2,13,31.68
14/2/1981,1981,2,14,32.5
15/2/1981,1981,2,15,33.83
16/2/1981,1981,2,16,34.57
17/2/1981,1981,2,17,34.77
18/2/1981,1981,2,18,34.35
19/2/1981,1981,2,19,34.12
20/2/1981,1981,2,20,34.19
21/2/1981,1981,2,21,34.05
22/2/1981,1981,2,22,33.56
23/2/1981,1981,2,23,34.47
24/2/1981,1981,2,24,35.84
25/2/1981,1981,2,25,36.96
26/2/1981,1981,2,26,37.92
27/2/1981,1981,2,27,37.54
28/2/1981,1981,2,28,37.69
1/3/1981,1981,3,1,38.23
2/3/1981,1981,3,2,37.85
3/3/1981,1981,3,3,35.76
4/3/1981,1981,3,4,34.77
5/3/1981,1981,3,5,35.55
6/3/1981,1981,3,6,36.46
7/3/1981,1981,3,7,37.3
8/3/1981,1981,3,8,36.9
9/3/1981,1981,3,9,37.62
10/3/1981,1981,3,10,33.81
11/3/1981,1981,3,11,35.62
12/3/1981,1981,3,12,32.48
13/3/1981,1981,3,13,32.72
14/3/1981,1981,3,14,34.98
15/3/1981,1981,3,15,35.39
16/3/1981,1981,3,16,34.64
17/3/1981,1981,3,17,35.12
18/3/1981,1981,3,18,36.58
19/3/1981,1981,3,19,37.85
20/3/1981,1981,3,20,36.75
21/3/1981,1981,3,21,29.49
22/3/1981,1981,3,22,29.55
23/3/1981,1981,3,23,34.62
24/3/1981,1981,3,24,34.09
25/3/1981,1981,3,25,33.76
26/3/1981,1981,3,26,32.69
27/3/1981,1981,3,27,33.06
28/3/1981,1981,3,28,33.41
29/3/1981,1981,3,29,33.15
30/3/1981,1981,3,30,33.22
31/3/1981,1981,3,31,31.51
1/4/1981,1981,4,1,33.88
2/4/1981,1981,4,2,34.14
3/4/1981,1981,4,3,34.83
4/4/1981,1981,4,4,38.38
5/4/1981,1981,4,5,38.68
6/4/1981,1981,4,6,38.14
7/4/1981,1981,4,7,37.87
8/4/1981,1981,4,8,37.9
9/4/1981,1981,4,9,39.17
10/4/1981,1981,4,10,39.64
11/4/1981,1981,4,11,38.36
12/4/1981,1981,4,12,39.27
13/4/1981,1981,4,13,39.32
14/4/1981,1981,4,14,37.68
15/4/1981,1981,4,15,36.49
16/4/1981,1981,4,16,36.91
17/4/1981,1981,4,17,37.46
18/4/1981,1981,4,18,39.8
19/4/1981,1981,4,19,40.15
20/4/1981,1981,4,20,39.05
21/4/1981,1981,4,21,39.07
22/4/1981,1981,4,22,37.55
23/4/1981,1981,4,23,35.89
24/4/1981,1981,4,24,37.48
25/4/1981,1981,4,25,35.7
26/4/1981,1981,4,26,36.17
27/4/1981,1981,4,27,38.05
28/4/1981,1981,4,28,38.83
29/4/1981,1981,4,29,40.14
30/4/1981,1981,4,30,37.86
1/5/1981,1981,5,1,40
2/5/1981,1981,5,2,40.35
3/5/1981,1981,5,3,39.12
4/5/1981,1981,5,4,35.2
5/5/1981,1981,5,5,34.37
6/5/1981,1981,5,6,35.24
7/5/1981,1981,5,7,33.63
8/5/1981,1981,5,8,31.45
9/5/1981,1981,5,9,35.12
10/5/1981,1981,5,10,37.5
11/5/1981,1981,5,11,35.73
12/5/1981,1981,5,12,37.75
13/5/1981,1981,5,13,40.63
14/5/1981,1981,5,14,42
15/5/1981,1981,5,15,43.3
16/5/1981,1981,5,16,41.08
17/5/1981,1981,5,17,38.53
