DATE,YEAR,MO,DY,T2M_MAX
20/1/1981,1981,1,20,26.05
21/1/1981,1981,1,21,26.13
22/1/1981,1981,1,22,27.01
23/1/1981,1981,1,23,27.14
24/1/1981,1981,1,24,27.55
25/1/1981,1981,1,25,27.69
26/1/1981,1981,1,26,26.6
27/1/1981,1981,1,27,27.01
28/1/1981,1981,1,28,27.82
29/1/1981,1981,1,29,28.12
30/1/1981,1981,1,30,28.89
31/1/1981,1981,1,31,29.34
1/2/1981,1981,2,1,29.29
2/2/1981,1981,2,2,27.98
3/2/1981,1981,2,3,27.91
4/2/1981,1981,2,4,27.89
5/2/1981,1981,2,5,28.83
6/2/1981,1981,2,6,30.97
7/2/1981,1981,2,7,31
8/2/1981,1981,2,8,31.8
9/2/1981,1981,2,9,30.21
10/2/1981,1981,2,10,28.51
11/2/1981,1981,2,11,27.69
12/2/1981,1981,2,12,28.58
13/2/1981,1981,2,13,30.05
14/2/1981,1981,2,14,31.03
15/2/1981,1981,2,15,32.28
16/2/1981,1981,2,16,32.93
17/2/1981,1981,2,17,33.38
18/2/1981,1981,2,18,32.8
19/2/1981,1981,2,19,32.3
20/2/1981,1981,2,20,32.46
21/2/1981,1981,2,21,31.9
22/2/1981,1981,2,22,31.5
23/2/1981,1981,2,23,32.2
24/2/1981,1981,2,24,33.73
25/2/1981,1981,2,25,34.91
26/2/1981,1981,2,26,35.94
27/2/1981,1981,2,27,35.23
28/2/1981,1981,2,28,34.81
1/3/1981,1981,3,1,34.73
2/3/1981,1981,3,2,35.58
3/3/1981,1981,3,3,33.7
4/3/1981,1981,3,4,32.94
5/3/1981,1981,3,5,33.14
6/3/1981,1981,3,6,33.82
7/3/1981,1981,3,7,34.46
8/3/1981,1981,3,8,33.94
9/3/1981,1981,3,9,34.61
10/3/1981,1981,3,10,31.22
11/3/1981,1981,3,11,33.15
12/3/1981,1981,3,12,30.9
13/3/1981,1981,3,13,31.73
14/3/1981,1981,3,14,32.73
15/3/1981,1981,3,15,32.97
16/3/1981,1981,3,16,32.92
17/3/1981,1981,3,17,33.49
18/3/1981,1981,3,18,33.78
19/3/1981,1981,3,19,34.65
20/3/1981,1981,3,20,33.73
21/3/1981,1981,3,21,27.96
22/3/1981,1981,3,22,28.9
23/3/1981,1981,3,23,33.01
24/3/1981,1981,3,24,32.09
25/3/1981,1981,3,25,31.73
26/3/1981,1981,3,26,31.33
27/3/1981,1981,3,27,31.28
28/3/1981,1981,3,28,31.44
29/3/1981,1981,3,29,30.99
30/3/1981,1981,3,30,31.29
31/3/1981,1981,3,31,30.57
1/4/1981,1981,4,1,31.85
2/4/1981,1981,4,2,32.1
3/4/1981,1981,4,3,32.38
4/4/1981,1981,4,4,35.33
5/4/1981,1981,4,5,35.74
6/4/1981,1981,4,6,35.48
7/4/1981,1981,4,7,36.05
8/4/1981,1981,4,8,36.23
9/4/1981,1981,4,9,36.92
10/4/1981,1981,4,10,36.26
11/4/1981,1981,4,11,34.31
12/4/1981,1981,4,12,34.82
13/4/1981,1981,4,13,35.65
14/4/1981,1981,4,14,33.71
15/4/1981,1981,4,15,33.1
16/4/1981,1981,4,16,33.58
17/4/1981,1981,4,17,34.04
18/4/1981,1981,4,18,35.69
19/4/1981,1981,4,19,35.03
20/4/1981,1981,4,20,36.05
21/4/1981,1981,4,21,35.02
22/4/1981,1981,4,22,33.7
23/4/1981,1981,4,23,32.81
24/4/1981,1981,4,24,33.8
25/4/1981,1981,4,25,33.75
26/4/1981,1981,4,26,33.62
27/4/1981,1981,4,27,34.26
28/4/1981,1981,4,28,35.05
29/4/1981,1981,4,29,35.94
30/4/1981,1981,4,30,35.58
1/5/1981,1981,5,1,36.86
2/5/1981,1981,5,2,36.19
3/5/1981,1981,5,3,35.12
4/5/1981,1981,5,4,32.65
5/5/1981,1981,5,5,32.72
6/5/1981,1981,5,6,32.55
7/5/1981,1981,5,7,31.73
8/5/1981,1981,5,8,30.26
9/5/1981,1981,5,9,32.28
10/5/1981,1981,5,10,33.87
11/5/1981,1981,5,11,33.7
12/5/1981,1981,5,12,34.89
13/5/1981,1981,5,13,36.69
14/5/1981,1981,5,14,37.58
15/5/1981,1981,5,15,38.01
16/5/1981,1981,5,16,36.22
17/5/1981,1981,5,17,34.83
18/5/1981,1981,5,18,35.06
19/5/1981,1981,5,19,36.21
20/5/1981,1981,5,20,36.04
21/5/1981,1981,5,21,35.29
22/5/1981,1981,5,22,34.32
23/5/1981,1981,5,23,33.53
24/5/1981,1981,5,24,35.3
25/5/1981,1981,5,25,34.91
26/5/1981,1981,5,26,32.13
27/5/1981,1981,5,27,32.39
28/5/1981,1981,5,28,33.16
29/5/1981,1981,5,29,32.73
30/5/1981,1981,5,30,32.74
31/5/1981,1981,5,31,31.33
1/6/1981,1981,6,1,32.97
2/6/1981,1981,6,2,36.85
3/6/1981,1981,6,3,34.48
4/6/1981,1981,6,4,31.57
5/6/1981,1981,6,5,33.44
6/6/1981,1981,6,6,35.48
7/6/1981,1981,6,7,36.54
8/6/1981,1981,6,8,36.57
9/6/1981,1981,6,9,34.9
10/6/1981,1981,6,10,37.94
11/6/1981,1981,6,11,37.87
12/6/1981,1981,6,12,37.24
13/6/1981,1981,6,13,38.75
14/6/1981,1981,6,14,35.88
15/6/1981,1981,6,15,35.8
16/6/1981,1981,6,16,33.77
17/6/1981,1981,6,17,31.24
18/6/1981,1981,6,18,30.1
19/6/1981,1981,6,19,32.61
20/6/1981,1981,6,20,30.07
21/6/1981,1981,6,21,30.71
22/6/1981,1981,6,22,32.38
23/6/1981,1981,6,23,31.72
24/6/1981,1981,6,24,30.47
25/6/1981,1981,6,25,29.48
26/6/1981,1981,6,26,31.01
27/6/1981,1981,6,27,32.44
28/6/1981,1981,6,28,32.58
29/6/1981,1981,6,29,32.39
30/6/1981,1981,6,30,31.78
1/7/1981,1981,7,1,29.46
2/7/1981,1981,7,2,30.98
3/7/1981,1981,7,3,31.25
4/7/1981,1981,7,4,29.22
5/7/1981,1981,7,5,31.41
6/7/1981,1981,7,6,30.98
7/7/1981,1981,7,7,30.58
8/7/1981,1981,7,8,31.31
9/7/1981,1981,7,9,31.3
10/7/1981,1981,7,10,32.04
11/7/1981,1981,7,11,30.89
12/7/1981,1981,7,12,29.76
13/7/1981,1981,7,13,31.53
14/7/1981,1981,7,14,32.46
15/7/1981,1981,7,15,31.79
16/7/1981,1981,7,16,30.76
17/7/1981,1981,7,17,28.77
18/7/1981,1981,7,18,29.49
19/7/1981,1981,7,19,30.44
20/7/1981,1981,7,20,30.62
21/7/1981,1981,7,21,31.04
